stroke_count,kanji,meaning,readings
1,一,one,ichi/itsu/hito/hito-tsu
1,乙,the latter,otsu
2,九,nine,kyū/ku/kokono/kokono-tsu
2,七,seven,shichi/nana/nana-tsu
2,十,ten,jū/ji'/too/to
2,人,person,jin/nin/hito
2,丁,ward,chō/tei
2,刀,sword,tō/katana
2,二,two,ni/futa/futa-tsu
2,入,enter,nyū/i-ru/i-reru/hai-ru
2,八,eight,hachi/ya/ya-tsu/ya'-tsu
2,又,or again,mata
2,了,finish,ryō
2,力,power,ryoku/riki/chikara
3,下,below,ka/ge/shita/shimo/moto/sa-geru/sa-garu/kuda-ru/kuda-su/kuda-saru/o-rosu/o-riru
3,干,dry,kan/ho-su/hi-ru
3,丸,circle,gan/maru/maru-i/maru-meru
3,久,long time,kyū/hisa-shii
3,及,reach out,kyū/oyo-bu/oyo-bi/oyo-bosu
3,弓,"bow (archery, violin)",kyū/yumi
3,巾,towel,kin
3,己,self,ko/ki/onore
3,口,mouth,kō/ku/kuchi
3,工,craft,kō/ku
3,乞,beg,ko-u
3,才,genius,sai
3,三,three,san/mi/mi-tsu/mi'-tsu
3,山,mountain,san/yama
3,士,gentleman,shi
3,子,child,shi/su/ko
3,女,woman,jo/nyo/onna/me
3,小,small,shō/chii-sai/ko/o
3,上,up,jō/ue/kami/a-geru/a-garu/nobo-ru/nobo-seru/nobo-su
3,丈,length,jō/take
3,刃,blade,jin/ha
3,寸,measurement,sun
3,夕,evening,seki/yū
3,千,thousand,sen/chi
3,川,river,sen/kawa
3,大,large,dai/tai/oo/oo-kii/oo-ini
3,土,soil,do/to/tsuchi
3,亡,deceased,bō/na-i
3,凡,mediocre,bon
3,万,ten thousand,man/ban
3,与,give,yo/ata-eru
4,引,pull,in/hi-ku/hi-keru
4,円,"round, yen",en/maru-i
4,王,king,ō
4,化,change,ka/ke/ba-keru/ba-kasu
4,火,fire,ka/hi
4,牙,tusk,ga/kiba
4,介,jammed in,kai
4,刈,reap,ka-ru
4,牛,cow,gyū/ushi
4,凶,villain,kyō
4,斤,axe,kin
4,区,ward,ku
4,欠,lack,ketsu/ka-keru/ka-ku
4,月,"month, moon",getsu/gatsu/tsuki
4,犬,dog,ken/inu
4,元,origin,gen/gan/moto
4,幻,phantasm,gen/maboroshi
4,戸,door,ko/to
4,五,five,go/itsu/itsu-tsu
4,互,mutually,go/taga-i
4,午,noon,go
4,公,public,kō/ooyake
4,勾,capture,kō
4,孔,cavity,kō
4,今,now,kon/kin/ima
4,支,branch,shi/sasa-eru
4,止,stop,shi/to-maru/to-meru
4,氏,family name,shi/uji
4,尺,shaku,shaku
4,手,hand,shu/te
4,収,take in,shū/osa-meru/osa-maru
4,升,measuring box,shō/masu
4,少,few,shō/suku-nai/suko-shi
4,冗,superfluous,jō
4,心,heart,shin/kokoro
4,仁,humanity,jin
4,水,water,sui/mizu
4,井,well,sei/i
4,切,cut,setsu/ki-ru/ki-reru
4,双,pair,sō/futa
4,太,thick,tai/ta/futo-i/futo-ru
4,丹,cinnabar,tan
4,中,middle,chū/naka
4,弔,condolences,chō/tomura-u
4,爪,claw,tsume
4,天,heaven,ten/ame
4,斗,Big Dipper,to
4,屯,barracks,ton
4,内,inside,nai/uchi
4,匂,scent,nio-u
4,日,day,nichi/jitsu/hi/ka
4,反,anti-,han/so-ru/so-rasu
4,比,compare,hi/kura-beru
4,匹,equal,hitsu/hiki
4,不,non-,fu/bu
4,夫,husband,fu/otto
4,父,father,fu/chichi
4,仏,Buddha,butsu/hotoke
4,分,"part, minute of time",bun/fun/bu/wa-keru/wa-kareru/wa-karu/wa-katsu
4,文,writing,bun/mon/fumi
4,片,one-sided,hen/kata
4,方,direction,hō/kata
4,乏,scarce,bō/tobo-shii
4,木,tree,boku/moku/ki
4,毛,hair,mō/ke
4,厄,unlucky,yaku
4,友,friend,yū/tomo
4,予,in advance,yo
4,六,six,roku/mu/mu-tsu/mu'-tsu
5,圧,pressure,atsu
5,以,by means of,i
5,右,right (direction),u/yū/migi
5,永,eternity,ei/naga-i
5,凹,concave,ō
5,央,center,ō
5,加,add,ka/kuwa-eru/kuwa-waru
5,可,possible,ka
5,瓦,tile,ga/kawara
5,外,outside,gai/ge/soto/hoka/hazu-su/hazu-reru
5,且,moreover,ka-tsu
5,刊,publish,kan
5,甘,sweet,kan/ama-i/ama-eru/ama-yakasu
5,丘,hill,kyū/oka
5,旧,old times,kyū
5,去,leave,kyo/ko/sa-ru
5,巨,gigantic,kyo
5,玉,ball,gyoku/tama
5,句,phrase,ku
5,兄,older brother,kei/ani
